    GatewayID          VRN          BP          userId                       groupID                    CreatedAt   used
21 39 10 08 57 15	833311170	100347880	7100841995086574	C88BC08B-2155-466A-B76B-AC11E68FD0DF	28/03/2024  true
75 46 24 97 58 71	904529396	100390314	1504886469675307	BB6607A0-7991-4BD0-8199-74A70156144A	28/03/2024  true
37 61 28 22 51 24	900000104	100356783	4900855970764493	F391061A-CE2E-4614-AD78-17946A363F51	04/04/2024  true
29 29 16 24 99 89	900000107	100357269	5906681008689480	E44B9653-A698-47DE-AD02-D464F150EEAE	04/04/2024  true
59 77 26 31 87 44	966601014	100381550	3415836827890967	0315A88E-CD42-4CD7-894F-FAF9459B4441	05/04/2024	true
58 74 66 30 65 92	889900128	100347927	1361404425764731	2619A409-AFAC-4E2C-A47F-BFAE14ADBF36	11/04/2024	true
97 35 24 81 61 39	888649736	100381963	4322121255995435	AB2E9E90-C8F2-4849-8EA9-6D899F16337F	11/04/2024	true
52 41 44 53 39 98	900000109	100357689	4960331441169933	64E14BA6-393F-4FF2-8374-9D39A8659A0F	11/04/2024	true
13 43 13 24 14 51	900000115	100357716	3786819175127961	12427AA0-606D-435D-A01B-A8E8BFED2C74	11/04/2024	true
48 19 56 90 51 44	889000038	100005038	4196626413173126	14C5FFC1-CDAE-4C99-9728-3806250D0625	12/04/2024	true
39 88 42 54 85 17	888636063	100380781	9921085441755201	73798A03-7428-49EA-BF9B-301E3D23B37C	16/04/2024	true
61 34 45 29 03 54	951220001	100382075	3061501280974828	A81DE25A-C901-4CD1-B0A4-77A6E87B2DCC	23/04/2024	true
52 08 20 29 15 81	888650171	100381967	2298488842267789	CD565206-1326-44D0-9D9A-C0AACF378C7B	23/04/2024	true
54 43 66 98 39 15	990011209	100388237	2801910647277757	27C6E763-B393-4521-A230-28ED6FCDEEB0	14/06/2024	false
35 98 20 65 95 76	904526803	100377806	8424344123376012	B4051E8C-6967-4C3F-8719-BB800D98E1D9	19/06/2024	false
40 26 71 06 36 99	904528110	100381247	7007646068137827	285BA275-B807-4A54-B8D6-7F5D3F083D33	11/07/2024	false
