    BP         VRN       FoundAt   Used    time
100390199    888666247   18/6/24   true	   17:17
100377806    904526803   18/6/24   true    17:22
100381247    904528110   21/6/24   false   09:55
100373981    998877301   21/6/24   false   09:57
100379659    904526823   21/6/24   false   09:58
100391116    888667930   21/6/24   false   10:00
100381171    991122111   21/6/24   false   13:29
100377271    998877382   21/6/24   false   13:33
100380780    888635948   27/6/24   false   09:49
100390305    888667440   27/6/24   false   09:50
100362084    998877261   27/6/24   false   09:52
100377271    998877382   27/6/24   false   09:54
100377220    999111024   27/6/24   false   09:55
100390199    888666247   27/6/24   false   09:57
100381167    991122105   16/7/24   false   13:15
100390199    888666247   16/7/24   false   13:16
100390198    888666149   16/7/24   false   13:20
100382069    904529105   16/7/24   false   13:22
100390298    888666737   16/7/24   false   13:23
100366094    888582648   16/7/24   false   13:24
